epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7185,3.70771,4.79947,4.24838,0.00365,0.12187,0.00264,0.00058,3.4185,4.51647,4.15814,0.00013125,0.00013125,0.00013125
2,16.8652,3.6493,4.73878,4.19067,0.00107,0.12068,0.00121,0.00051,3.41882,4.52476,4.14593,0.000264316,0.000264316,0.000264316
3,24.3758,3.58638,4.64985,4.15104,0.00236,0.20959,0.00291,0.00092,3.40543,4.55259,4.11278,0.000392844,0.000392844,0.000392844
4,30.9419,3.55616,4.59795,4.0848,0.00046,0.10539,0.00095,0.00033,3.56423,4.66275,4.11796,0.000516834,0.000516834,0.000516834
5,38.5413,3.5407,4.48297,3.98121,0.00077,0.01054,0.00051,0.00022,3.64313,4.96151,4.22314,0.00058375,0.00058375,0.00058375
6,44.5857,3.44778,4.42785,3.88067,0.0076,0.04164,0.00936,0.00193,3.66407,4.79109,4.22951,0.000573438,0.000573438,0.000573438
7,51.962,3.33684,4.36036,3.74715,0.00188,0.14476,0.00234,0.00089,3.43302,4.50836,3.99279,0.000563125,0.000563125,0.000563125
8,58.1929,3.24065,4.34653,3.66139,0.84322,0.0049,0.01328,0.00511,3.11272,4.28523,3.80037,0.000552813,0.000552813,0.000552813
9,65.5014,3.16624,4.25624,3.57033,0.01499,0.28422,0.01568,0.00212,3.0027,4.05289,3.64463,0.0005425,0.0005425,0.0005425
10,72.0402,3.07994,4.22843,3.50271,0.00459,0.24457,0.00994,0.00221,3.09637,3.85373,3.55896,0.000532187,0.000532187,0.000532187
11,78.8232,3.05078,4.17067,3.44003,0.00598,0.26587,0.00824,0.0024,2.94107,3.85716,3.46224,0.000521875,0.000521875,0.000521875
12,85.5258,2.98209,4.1818,3.36478,0.00828,0.26113,0.01691,0.00347,2.80822,3.79978,3.44321,0.000511562,0.000511562,0.000511562
13,92.0307,2.95512,4.09736,3.31471,0.006,0.29176,0.01331,0.00324,2.81569,3.69455,3.29631,0.00050125,0.00050125,0.00050125
14,99.1426,2.90659,4.03412,3.24213,0.2026,0.14597,0.03611,0.0113,2.74487,3.6558,3.2521,0.000490937,0.000490937,0.000490937
15,105.053,2.82457,3.99481,3.2058,0.58651,0.04945,0.04028,0.01582,2.69442,3.60519,3.17553,0.000480625,0.000480625,0.000480625
16,112.602,2.78281,3.91907,3.11985,0.58261,0.04812,0.04356,0.01932,2.73777,3.56233,3.22379,0.000470312,0.000470312,0.000470312
17,118.5,2.75336,3.89812,3.10606,0.54748,0.0549,0.04807,0.02084,2.56026,3.43249,3.06758,0.00046,0.00046,0.00046
18,126.299,2.68681,3.84904,3.06718,0.64811,0.04232,0.0579,0.02186,2.54447,3.41964,3.05473,0.000449688,0.000449688,0.000449688
19,132.255,2.67812,3.78141,2.99007,0.68269,0.06726,0.06565,0.02551,2.49446,3.36444,2.98951,0.000439375,0.000439375,0.000439375
20,140.003,2.64451,3.71649,2.9513,0.57421,0.0663,0.0671,0.02849,2.43754,3.33767,2.92806,0.000429063,0.000429063,0.000429063
21,145.891,2.59868,3.68522,2.92005,0.44327,0.05306,0.04365,0.02016,2.46327,3.52772,2.99437,0.00041875,0.00041875,0.00041875
22,153.464,2.53557,3.64231,2.88352,0.47145,0.09892,0.07068,0.02873,2.41632,3.36086,2.91997,0.000408438,0.000408438,0.000408438
23,159.477,2.48754,3.60573,2.86151,0.52229,0.12622,0.10247,0.03858,2.38397,3.30464,2.89459,0.000398125,0.000398125,0.000398125
24,167.016,2.48756,3.60174,2.84087,0.47909,0.09374,0.10015,0.03607,2.34153,3.2386,2.85755,0.000387813,0.000387813,0.000387813
25,172.909,2.45369,3.56551,2.79745,0.4868,0.10313,0.0732,0.02636,2.39411,3.31081,2.89615,0.0003775,0.0003775,0.0003775
26,179.808,2.43124,3.51371,2.77257,0.51838,0.10738,0.09715,0.03369,2.32398,3.2985,2.83855,0.000367187,0.000367187,0.000367187
27,186.191,2.39108,3.50148,2.74141,0.65606,0.10333,0.12427,0.04603,2.3001,3.15251,2.83023,0.000356875,0.000356875,0.000356875
28,192.782,2.36204,3.44296,2.72468,0.5115,0.11549,0.10224,0.04245,2.27072,3.18339,2.76122,0.000346563,0.000346563,0.000346563
29,199.617,2.36424,3.41525,2.71232,0.67046,0.12817,0.10419,0.03944,2.24465,3.06416,2.73483,0.00033625,0.00033625,0.00033625
30,205.601,2.36586,3.40917,2.6993,0.46634,0.14,0.10196,0.04337,2.33498,3.13466,2.79537,0.000325938,0.000325938,0.000325938
31,212.937,2.36534,3.37882,2.68982,0.68153,0.11063,0.12633,0.05813,2.25548,3.04059,2.77576,0.000315625,0.000315625,0.000315625
32,218.957,2.30016,3.35462,2.66704,0.40306,0.13549,0.12557,0.05072,2.21995,3.05953,2.72672,0.000305312,0.000305312,0.000305312
33,226.523,2.33139,3.34366,2.66047,0.47714,0.14318,0.118,0.05161,2.2174,2.97717,2.73138,0.000295,0.000295,0.000295
34,232.412,2.30531,3.26192,2.6227,0.51751,0.19836,0.13136,0.0562,2.26863,2.96279,2.76306,0.000284688,0.000284688,0.000284688
35,239.886,2.25475,3.25674,2.61121,0.53205,0.18081,0.16237,0.06763,2.25158,2.9057,2.72238,0.000274375,0.000274375,0.000274375
36,245.869,2.26018,3.25552,2.60318,0.40002,0.16844,0.17105,0.07208,2.19762,2.97511,2.66994,0.000264062,0.000264062,0.000264062
37,253.464,2.23886,3.1988,2.59377,0.33256,0.1901,0.17207,0.07354,2.17063,2.95076,2.66552,0.00025375,0.00025375,0.00025375
38,259.381,2.23035,3.19142,2.56445,0.42338,0.17747,0.16512,0.07374,2.16309,2.9872,2.64288,0.000243437,0.000243437,0.000243437
39,266.606,2.20451,3.21779,2.57251,0.51347,0.21482,0.19786,0.0783,2.16366,3.03783,2.65794,0.000233125,0.000233125,0.000233125
40,272.97,2.23348,3.18863,2.57402,0.4072,0.20873,0.18827,0.07883,2.13718,2.89361,2.64284,0.000222813,0.000222813,0.000222813
41,279.562,2.19711,3.16434,2.55896,0.36867,0.21423,0.19404,0.08728,2.08418,2.93457,2.5877,0.0002125,0.0002125,0.0002125
42,286.467,2.1973,3.18565,2.54722,0.37485,0.19746,0.19797,0.08599,2.09193,2.93142,2.57548,0.000202188,0.000202188,0.000202188
43,292.577,2.19156,3.12403,2.51913,0.33574,0.21277,0.18486,0.0813,2.1451,2.96232,2.61961,0.000191875,0.000191875,0.000191875
44,299.85,2.18618,3.1353,2.50651,0.39861,0.22417,0.19719,0.08701,2.14052,2.90233,2.60088,0.000181563,0.000181563,0.000181563
45,305.837,2.20011,3.12299,2.52552,0.54286,0.21444,0.25109,0.10909,2.17004,2.86671,2.59813,0.00017125,0.00017125,0.00017125
46,313.543,2.2046,3.15857,2.55495,0.48154,0.22413,0.23775,0.10493,2.13324,2.80589,2.60219,0.000160938,0.000160938,0.000160938
47,319.696,2.18533,3.07418,2.50842,0.41949,0.21826,0.22853,0.103,2.11902,2.83988,2.60422,0.000150625,0.000150625,0.000150625
48,327.388,2.14125,3.08392,2.48627,0.43306,0.18074,0.22964,0.10533,2.11429,2.85443,2.59504,0.000140313,0.000140313,0.000140313
49,333.54,2.16348,3.04123,2.50692,0.38127,0.24492,0.23467,0.10818,2.16083,2.83029,2.63191,0.00013,0.00013,0.00013
50,341.329,2.1365,3.01912,2.47768,0.44456,0.18738,0.23625,0.11146,2.13331,2.73492,2.61188,0.000119688,0.000119688,0.000119688
51,349.083,2.13342,3.04182,2.54455,0.30961,0.25545,0.25353,0.11537,2.12979,2.67114,2.57871,0.000109375,0.000109375,0.000109375
52,357.008,2.06849,2.96791,2.47591,0.43126,0.2479,0.24659,0.12005,2.10481,2.5936,2.52667,9.90625e-05,9.90625e-05,9.90625e-05
53,363.042,2.06211,2.93144,2.47697,0.47694,0.20181,0.2517,0.12587,2.12929,2.59695,2.55075,8.875e-05,8.875e-05,8.875e-05
54,370.891,2.07196,2.94773,2.47959,0.41406,0.22365,0.24608,0.12271,2.15667,2.6519,2.59607,7.84375e-05,7.84375e-05,7.84375e-05
55,376.593,2.05742,2.90847,2.47741,0.43695,0.22486,0.24585,0.12019,2.10608,2.61783,2.57775,6.8125e-05,6.8125e-05,6.8125e-05
56,384.13,2.05727,2.86691,2.45415,0.46294,0.20441,0.25625,0.12563,2.08061,2.5882,2.55686,5.78125e-05,5.78125e-05,5.78125e-05
57,389.801,2.03682,2.8164,2.45824,0.4493,0.21324,0.26096,0.12596,2.08964,2.60308,2.55197,4.75e-05,4.75e-05,4.75e-05
58,396.944,2.01154,2.78075,2.41862,0.43865,0.22815,0.26464,0.12633,2.08611,2.57263,2.5376,3.71875e-05,3.71875e-05,3.71875e-05
59,403.209,2.01145,2.76804,2.44739,0.43471,0.2362,0.27214,0.1314,2.09546,2.53908,2.54524,2.6875e-05,2.6875e-05,2.6875e-05
60,409.595,2.02353,2.82194,2.43995,0.43326,0.24723,0.2725,0.12932,2.10323,2.5177,2.56015,1.65625e-05,1.65625e-05,1.65625e-05
